year,rotation,site_id,nrate_kgha,leaching_kgha
2011,cs,klad,300,53.8
2011,cs,masa,0,3.6
2011,cs,masa,56,4.9
2011,cs,masa,112,10.3
2011,cs,masa,168,20
2011,cs,masa,224,29
2011,cs,masa,250,33.2
2011,cs,masa,300,39.8
2011,cs,rand,0,3
2011,cs,rand,56,3.3
2011,cs,rand,112,4.1
2011,cs,rand,168,4.9
2011,cs,rand,224,5.3
2011,cs,rand,250,5.6
2011,cs,rand,300,6.1
2011,cs,suth,0,0.3
2011,cs,suth,56,0.3
2011,cs,suth,112,0.3
2011,cs,suth,168,0.3
2011,cs,suth,224,0.4
2011,cs,suth,250,0.4
2011,cs,suth,300,0.4
2012,cc,gent,0,7.6
2012,cc,gent,56,11.7
2012,cc,gent,112,13.2
2012,cc,gent,168,20.7
2012,cc,gent,224,39.1
2012,cc,gent,250,47.6
2012,cc,gent,300,65.1
2012,cc,gilm,0,5.1
2012,cc,gilm,56,8.1
2012,cc,gilm,112,12
2012,cc,gilm,168,34.7
2012,cc,gilm,224,59.7
2012,cc,gilm,250,71.4
2012,cc,gilm,300,94.2
2012,cc,gold,0,1.2
2012,cc,gold,56,1.8
2012,cc,gold,112,6
2012,cc,gold,168,16.2
2012,cc,gold,224,27.5
2012,cc,gold,250,32.8
2012,cc,gold,300,43.5
2012,cc,hugg,0,6.6
2012,cc,hugg,56,10.2
2012,cc,hugg,112,14.4
2012,cc,hugg,168,30.7
2012,cc,hugg,224,66.6
2012,cc,hugg,250,82.9
2012,cc,hugg,300,115.6
2012,cc,klad,0,0.7
2012,cc,klad,56,1.3
2012,cc,klad,112,2
2012,cc,klad,168,3.2
2012,cc,klad,224,8
2012,cc,klad,250,10.4
2012,cc,klad,300,14.9
2012,cc,masa,0,1.7
2012,cc,masa,56,2.3
2012,cc,masa,112,7.9
2012,cc,masa,168,37.8
2012,cc,masa,224,64.6
2012,cc,masa,250,76.5
2012,cc,masa,300,100.4
2012,cc,rand,0,1.6
2012,cc,rand,56,2.7
2012,cc,rand,112,4
2012,cc,rand,168,9
2012,cc,rand,224,25.4
2012,cc,rand,250,33.8
2012,cc,rand,300,50.4
2012,cc,suth,0,0.4
2012,cc,suth,56,0.7
2012,cc,suth,112,1.1
2012,cc,suth,168,1.3
2012,cc,suth,224,2.6
2012,cc,suth,250,4.5
2012,cc,suth,300,9.2
