rate ,State,site,index,YieldCS,DrainCS,LeachCS,FlowCS,YieldCofCS,DrainCofCS,LeachCofCS,FlowCofCS,YieldCC,DrainCC,LeachCC,FlowCC
112,Indiana,Hofmann,h,100.3533636,298.6291818,91.84545455,31.97606959,148.4084,297.7346,75.56,26.53657098,161.6369167,440.2959167,14.1,3.054167434
168,Indiana,Hofmann,h,100.3592727,297.7942727,112.4181818,39.65243094,148.4134,297.6532,89.56,31.78007121,167.6926667,394.6254167,58.21666667,15.03171628
224,Indiana,Hofmann,h,100.3637273,297.3032727,133.2363636,47.42293088,148.417,297.6214,103.7,37.08812964,167.6926667,383.2358333,108.175,29.0344857
250,Indiana,Hofmann,h,100.3637273,297.1248182,143.0363636,51.08436972,148.4174,297.613,110.38,39.59721775,167.6926667,379.027,130.7333333,35.51942823
300,Indiana,Hofmann,h,100.3637273,315.8559,169.22,54.97335864,148.4174,297.602,123.76,44.58421688,167.6926667,375.1428333,174.6833333,48.32276044
0,Indiana,Kladivko,i,108.6693636,147.1251818,8.454545455,7.771097057,193.5644,76.527,10.08,12.63180871,75.64433333,146.8894444,1.033333333,0.731472996
56,Indiana,Kladivko,i,112.2011818,140.7995455,14.55454545,12.80568588,193.3044,78.7056,16.7,20.14747537,137.6376667,182.3478889,10.53333333,5.458506001
112,Indiana,Kladivko,i,115.9481818,140.7978182,20.61818182,17.17833703,196.4682,83.1618,22.88,26.0543719,158.0815556,203.6034444,26.66666667,12.81337714
168,Indiana,Kladivko,i,117.0487273,141.1025455,26.34545455,21.20036203,196.4682,86.008,28.56,31.39377909,158.0815556,202.7232222,41.1,19.97354008
224,Indiana,Kladivko,i,118.148,141.3574545,32.11818182,25.27710064,196.4682,88.2188,34.14,36.64697457,158.0815556,202.2076667,56.06666667,27.51182399
250,Indiana,Kladivko,i,118.148,141.436,34.76363636,27.14695777,196.4682,89.0054,36.68,39.04497585,158.0815556,201.9527778,62.83333333,30.94798325
300,Indiana,Kladivko,i,118.148,139.3804,40.55,31.00815503,196.4682,92.96,42.7,43.43874197,158.0815556,201.6075556,75.94444444,37.62283453
0,Iowa,Sutherland,j,77.57227273,161.5710909,2.181818182,1.238655663,106.4674,170.2162,1.22,0.71673554,47.86609091,201.1528182,2.072727273,1.064997366
56,Iowa,Sutherland,j,95.91918182,158.4588182,2.745454545,1.459908467,147.994,142.3024,1.42,0.997874948,110.4906364,202.8288182,3.136363636,1.566126378
112,Iowa,Sutherland,j,111.9742727,156.4331818,3.290909091,1.702338935,182.8746,128.0286,1.84,1.43717888,158.5060909,199.4164545,4.745454545,2.325473656
168,Iowa,Sutherland,j,117.3920909,155.475,5.872727273,3.002614599,191.9198,124.7974,2.88,2.307740386,192.7051818,193.8099091,7.154545455,3.436905526
224,Iowa,Sutherland,j,118.6973636,153.0309091,10.62727273,5.686999411,192.6218,125.0626,5.18,4.141925724,211.79,188.7196364,14.42727273,7.051763163
250,Iowa,Sutherland,j,118.6973636,152.7084545,12.99090909,7.049502457,192.6218,125.088,6.32,5.05244308,211.79,187.554,19.8,9.93045633
300,Iowa,Sutherland,j,118.6973636,152.1390909,17.51818182,9.685355693,192.6218,125.0574,8.5,6.796878873,211.79,187.6276364,33.37272727,17.28012972
