state,site,index,nrate,sys_trt,yield,drain,leach,flow,yield_cof,drain_cof,leach_cof,flow_cof
wisconsin,masarik,a,112,cc,147.54475,422.21875,2.875,0.661166667,NA,NA,NA,NA
wisconsin,masarik,a,168,cc,166.7311667,412.93025,20.08333333,5.05525,NA,NA,NA,NA
wisconsin,masarik,a,224,cc,166.7311667,410.952,66.50833333,16.3585,NA,NA,NA,NA
wisconsin,masarik,a,250,cc,166.7311667,410.0449167,87.76666667,21.56908333,NA,NA,NA,NA
wisconsin,masarik,a,300,cc,166.7311667,406.8945,127.3666667,31.47483333,NA,NA,NA,NA
iowa,gilmore,b,0,cc,66.75736364,345.2816364,2.790909091,0.792665261,NA,NA,NA,NA
iowa,gilmore,b,56,cc,124.4431818,368.9564545,12.9,3.500368827,NA,NA,NA,NA
iowa,gilmore,b,112,cc,124.4431818,360.5991818,43.35454545,12.07787761,NA,NA,NA,NA
iowa,gilmore,b,168,cc,124.4431818,358.9695455,80.66363636,22.56386172,NA,NA,NA,NA
iowa,gilmore,b,224,cc,124.4431818,358.9426364,117.9181818,32.99329256,NA,NA,NA,NA
iowa,gilmore,b,250,cc,124.4431818,358.8891818,135.4454545,37.90332899,NA,NA,NA,NA
iowa,gilmore,b,300,cc,124.4431818,358.963,169.2363636,47.34453532,NA,NA,NA,NA
minnesota,huggins,c,0,cc,46.2661875,127.0730625,0.81875,0.713479464,NA,NA,NA,NA
minnesota,huggins,c,56,cc,109.5020625,132.817875,1.40625,1.101582294,NA,NA,NA,NA
minnesota,huggins,c,112,cc,158.20675,125.0744375,4.41875,3.735316517,NA,NA,NA,NA
minnesota,huggins,c,168,cc,162.2289375,120.7098125,36.45625,29.4894834,NA,NA,NA,NA
minnesota,huggins,c,224,cc,162.2289375,119.200375,82.46875,66.92755316,NA,NA,NA,NA
minnesota,huggins,c,250,cc,162.2289375,119.0714375,104.6875,84.94167923,NA,NA,NA,NA
minnesota,huggins,c,300,cc,162.2289375,119.0690625,147.075,119.2569344,NA,NA,NA,NA
minnesota,randall,d,0,cc,43.45318182,228.9117273,10.22727273,4.592637954,NA,NA,NA,NA
minnesota,randall,d,56,cc,104.3977273,260.4769091,15.70909091,6.326796204,NA,NA,NA,NA
minnesota,randall,d,112,cc,122.7529091,256.4943636,38.56363636,15.51750725,NA,NA,NA,NA
minnesota,randall,d,168,cc,123.9786364,255.5947273,80.90909091,32.89450017,NA,NA,NA,NA
minnesota,randall,d,224,cc,124.6664545,255.0371818,124.4636364,50.80573431,NA,NA,NA,NA
minnesota,randall,d,250,cc,124.6664545,254.791,144.9545455,59.24319435,NA,NA,NA,NA
minnesota,randall,d,300,cc,124.6664545,254.1864545,184.4363636,75.55477555,NA,NA,NA,NA
minnesota,randall&iragavarapu,e,0,cc,54.6006,248.6561,3.48,1.8075,NA,NA,NA,NA
minnesota,randall&iragavarapu,e,56,cc,108.8497,249.3744,5.28,2.477,NA,NA,NA,NA
minnesota,randall&iragavarapu,e,112,cc,144.5162,237.6897,11.22,5.1851,NA,NA,NA,NA
minnesota,randall&iragavarapu,e,168,cc,144.5162,234.3476,33,14.9228,NA,NA,NA,NA
minnesota,randall&iragavarapu,e,224,cc,144.5162,234.1983,56.26,25.2631,NA,NA,NA,NA
minnesota,randall&iragavarapu,e,250,cc,144.5162,234.0341,67.12,30.1216,NA,NA,NA,NA
minnesota,randall&iragavarapu,e,300,cc,144.5162,233.9087,88.37,39.6679,NA,NA,NA,NA
michigan,gold,f,0,cc,23.10944444,375.9038333,2.816666667,0.736916667,NA,NA,NA,NA
michigan,gold,f,56,cc,85.88111111,399.5019167,6.591666667,1.604583333,NA,NA,NA,NA
michigan,gold,f,112,cc,119.9015556,391.5879167,19.70833333,5.06025,NA,NA,NA,NA
michigan,gold,f,168,cc,123.6484444,388.1865,43.075,11.12,NA,NA,NA,NA
michigan,gold,f,224,cc,123.6484444,386.2395,66.51666667,17.2085,NA,NA,NA,NA
michigan,gold,f,250,cc,123.6484444,385.8689167,77.425,20.02708333,NA,NA,NA,NA
michigan,gold,f,300,cc,123.6484444,385.1168333,98.4,25.48433333,NA,NA,NA,NA
illinois,gentry,g,0,cc,68.24754545,458.4299091,5.009090909,1.211727273,NA,NA,NA,NA
illinois,gentry,g,56,cc,120.0009091,440.6643636,20.46363636,4.556909091,NA,NA,NA,NA
illinois,gentry,g,112,cc,128.0208182,421.9033636,68.1,15.86890909,NA,NA,NA,NA
illinois,gentry,g,168,cc,128.0208182,417.1598182,113.7272727,27.21863636,NA,NA,NA,NA
illinois,gentry,g,224,cc,128.0208182,416.0744545,159.4909091,38.56518182,NA,NA,NA,NA
illinois,gentry,g,250,cc,128.0208182,416.012,181.0727273,43.85972727,NA,NA,NA,NA
illinois,gentry,g,300,cc,128.0208182,415.1313636,222.8,54.21781818,NA,NA,NA,NA
indiana,hofmann,h,0,cc,33.77841667,438.2003333,3.35,0.764545219,NA,NA,NA,NA
indiana,hofmann,h,56,cc,106.7838333,487.5573333,7.133333333,1.424147316,NA,NA,NA,NA
indiana,hofmann,h,112,cc,161.6369167,440.2959167,14.1,3.054167434,NA,NA,NA,NA
indiana,hofmann,h,168,cc,167.6926667,394.6254167,58.21666667,15.03171628,NA,NA,NA,NA
indiana,hofmann,h,224,cc,167.6926667,383.2358333,108.175,29.0344857,NA,NA,NA,NA
indiana,hofmann,h,250,cc,167.6926667,379.027,130.7333333,35.51942823,NA,NA,NA,NA
indiana,hofmann,h,300,cc,167.6926667,375.1428333,174.6833333,48.32276044,NA,NA,NA,NA
indiana,kladivko,i,0,cc,75.64433333,146.8894444,1.033333333,0.731472996,NA,NA,NA,NA
indiana,kladivko,i,56,cc,137.6376667,182.3478889,10.53333333,5.458506001,NA,NA,NA,NA
indiana,kladivko,i,112,cc,158.0815556,203.6034444,26.66666667,12.81337714,NA,NA,NA,NA
indiana,kladivko,i,168,cc,158.0815556,202.7232222,41.1,19.97354008,NA,NA,NA,NA
indiana,kladivko,i,224,cc,158.0815556,202.2076667,56.06666667,27.51182399,NA,NA,NA,NA
indiana,kladivko,i,250,cc,158.0815556,201.9527778,62.83333333,30.94798325,NA,NA,NA,NA
indiana,kladivko,i,300,cc,158.0815556,201.6075556,75.94444444,37.62283453,NA,NA,NA,NA
iowa,sutherland,j,0,cc,47.86609091,201.1528182,2.072727273,1.064997366,NA,NA,NA,NA
iowa,sutherland,j,56,cc,110.4906364,202.8288182,3.136363636,1.566126378,NA,NA,NA,NA
iowa,sutherland,j,112,cc,158.5060909,199.4164545,4.745454545,2.3254736559999998,NA,NA,NA,NA
iowa,sutherland,j,168,cc,192.7051818,193.8099091,7.154545455,3.436905526,NA,NA,NA,NA
iowa,sutherland,j,224,cc,211.79,188.7196364,14.42727273,7.051763163,NA,NA,NA,NA
iowa,sutherland,j,250,cc,211.79,187.554,19.8,9.93045633,NA,NA,NA,NA
iowa,sutherland,j,300,cc,211.79,187.6276364,33.37272727,17.28012972,NA,NA,NA,NA
