site,year,rotation,a,b,xs,c
gold,2006,cc,-0.34544921515908533,0.08335661793569563,128.59216086397493,0.40484596192155164
gold,2016,cc,2.359586287859629,0.0760637924363336,128.59216086397493,0.4341212399355784
gold,2005,cc,3.471311154418883,0.05093874345217827,128.59216086397493,0.445348902143621
gold,2004,cc,0.9209536398127054,0.043159401079262506,128.59216086397493,0.47111604230031756
gold,2012,cc,2.3274452129671923,0.1670022206629364,128.59216086397493,0.5007318535669036
hoff,2011,cs,14.446155623873025,0.06397537197981285,116.29131463485989,0.18391457970701183
hoff,2002,cc,6.561870944731566,0.036054228968520105,128.59216086397493,0.2970848024789198
hoff,2009,cc,4.742449811954282,0.008202363595896212,128.59216086397493,0.38406611227387993
hoff,2002,cs,13.252850604563061,0.09721066239851804,116.29131463485989,0.3324035931556798
hoff,2009,cs,15.153447266879905,0.06707735768244277,116.29131463485989,0.35859035072803214
hoff,2000,cs,26.529471395157003,0.07378533819849642,116.29131463485989,0.3242000311875074
hoff,2008,cs,15.413100592212032,0.06276491519586612,116.29131463485989,0.43326026225018477
hoff,2004,cs,16.191573820860178,0.10386336638722093,116.29131463485989,0.45004941420668243
hoff,2005,cc,10.560846132821599,0.22566068010289925,128.59216086397493,0.46981953616361327
hoff,2001,cs,16.439225414834326,0.1500055095200729,116.29131463485989,0.4723802274132647
hoff,2000,cc,17.124351982282032,0.11104341029351444,128.59216086397493,0.5386731857808108
hoff,2005,cs,23.419525971704335,0.18338970906350896,116.29131463485989,0.44617526622799575
hoff,2003,cs,18.202848179646754,0.14905262046839393,116.29131463485989,0.5068290118304207
hoff,2008,cc,9.122984371920026,0.07605088024931086,128.59216086397493,0.65163628392844
hoff,2006,cs,24.41801011030652,0.2058300965141425,116.29131463485989,0.4847377650020862
hoff,2015,cs,20.81444595420026,0.23080522317820754,116.29131463485989,0.4941884698779718
hoff,2014,cs,14.9530274502855,0.20996155617075088,116.29131463485989,0.5601628725398545
hoff,2017,cc,10.072485093139365,0.15341102285992994,128.59216086397493,0.6772926683219684
hoff,2013,cs,19.21778611208864,0.21066112778734894,116.29131463485989,0.564639499683396
hoff,2007,cs,30.0291107344925,0.1801942464293453,116.29131463485989,0.5137339315127865
hoff,2016,cc,8.472248004091067,0.18700054593610627,128.59216086397493,0.6858164558642252
hoff,2017,cs,29.29110483599119,0.21807598340223053,116.29131463485989,0.5174811427319082
hoff,2007,cc,18.555833416079075,0.11716957779269027,128.59216086397493,0.6850738268270213
hoff,2016,cs,23.380299975996177,0.28565716942444125,116.29131463485989,0.5446132573060598
hoff,2001,cc,15.446467139764763,0.23480814626515012,128.59216086397493,0.6684299055973709
hoff,2013,cc,9.134770953005052,0.16655302842252898,128.59216086397493,0.8011967858571168
hoff,2003,cc,7.046431138136383,0.15234252359390668,128.59216086397493,0.8074673452621494
hoff,2006,cc,9.100496083375992,0.23165075163768606,128.59216086397493,0.7477243312266493
hoff,2014,cc,5.794079365953073,0.14388086613436568,128.59216086397493,0.8709798404258817
hoff,2010,cc,13.930838011505166,0.15174355851036694,128.59216086397493,0.7942831913247093
hoff,2015,cc,7.299448585202097,0.240704125670337,128.59216086397493,0.8189930115172919
hoff,2018,cc,14.164763791564894,0.20232591846459946,128.59216086397493,0.8355562515174619
hoff,2004,cc,13.857144445344224,0.20804830650606398,128.59216086397493,0.8312913078430307
hoff,2011,cc,13.501835918471517,0.1808910540286693,128.59216086397493,0.8842944374558973
hoff,2010,cs,33.57116814388243,0.23336541471362382,116.29131463485989,0.8798358885042452
hugg,2011,cc,5.867354447867822,0.007030935779221717,128.59216086397493,0.32180612354840754
hugg,2003,cs,12.025102277985633,-0.02804784645133176,116.29131463485989,0.381540425414824
hugg,2011,cs,17.48092301272698,0.06464424639982366,116.29131463485989,0.3759968821808066
hugg,2002,cs,14.695916825304394,0.10367109100863538,116.29131463485989,0.4517881334592657
hugg,2004,cs,13.613307702988307,0.11062059259801314,116.29131463485989,0.45603946052766686
hugg,2008,cs,11.367804228535762,0.06290535246985922,116.29131463485989,0.5027257267934515
hugg,2014,cc,2.5688875971420346,0.05231848238833477,128.59216086397493,0.6549312414516938
hugg,2009,cs,19.985366063006595,0.03132173851181125,116.29131463485989,0.5121627673423909
hugg,2013,cs,10.15923329624318,0.12535421299005575,116.29131463485989,0.5415671025004136
hugg,2014,cs,14.188745612103887,0.07170964223828209,116.29131463485989,0.5541243451746501
