site_id,year,rotation,term2,estimate
klad,2003,cc,a,25.97226193838261
klad,2000,cc,a,84.991429837068
klad,2018,cc,a,14.232632607249293
klad,2007,cs,a,54.52702521831199
klad,2006,cc,a,45.34706640528811
klad,2000,cs,a,71.28953634400952
klad,2002,cs,a,62.0837722195149
klad,2002,cc,a,71.45793580790641
klad,2007,cc,a,30.780504055077124
klad,2018,cs,a,36.1541211934481
klad,2010,cc,a,29.982734652855036
klad,2010,cs,a,31.204493661070906
klad,2012,cs,a,29.05206763430286
klad,2011,cc,a,40.58532465004126
klad,2012,cc,a,39.92922591637094
klad,2004,cc,a,24.91923910897382
klad,2011,cs,a,51.61896513359027
klad,2008,cc,a,31.73987047560314
klad,2017,cs,a,83.29639524736922
klad,2017,cc,a,41.96408177717417
klad,2004,cs,a,50.73745412000926
klad,2008,cs,a,39.58109891167164
masa,2001,cc,a,42.77841961877728
masa,2004,cc,a,19.346318338980563
masa,2009,cc,a,24.42002391504502
masa,2019,cc,a,12.752475910208553
masa,2014,cc,a,6.900119337682192
masa,2000,cc,a,50.95707302225851
masa,2008,cc,a,35.48481040258571
masa,2019,cs,a,7.4713547252494195
masa,2000,cs,a,53.41699966992222
masa,2004,cs,a,6.417802901841355
masa,2008,cs,a,41.83676356449429
masa,2009,cs,a,12.13058089801265
masa,2003,cc,a,77.528058538337
masa,2001,cs,a,50.24952910932309
masa,2014,cs,a,18.6332781330566
masa,2010,cc,a,31.15710668702046
masa,2017,cc,a,30.974298981324402
masa,2006,cc,a,62.69341257279629
masa,2013,cc,a,23.04843179651327
masa,2011,cc,a,67.90751999072192
masa,2016,cc,a,11.585563533290774
masa,2010,cs,a,78.80098667574165
masa,2017,cs,a,31.786826183598997
masa,2013,cs,a,29.01281768923723
masa,2018,cc,a,21.027720198271897
masa,2011,cs,a,55.44769128924868
masa,2016,cs,a,56.49253904522645
masa,2003,cs,a,41.17020175814713
masa,2015,cc,a,33.93330730104046
masa,2018,cs,a,57.36393008250914
masa,2007,cc,a,43.740271722538196
masa,2007,cs,a,34.268154315235776
masa,2006,cs,a,64.99253375594199
masa,2012,cs,a,59.24354308960039
masa,2002,cc,a,93.00986558197846
masa,2012,cc,a,55.25597726282224
masa,2015,cs,a,55.072249892046386
masa,2002,cs,a,106.86422341510729
masa,2005,cc,a,69.63651210633506
masa,2005,cs,a,73.1535319386705
rand,2001,cs,a,69.8730941491757
rand,2001,cc,a,72.18468568934972
rand,2013,cs,a,31.73808916458172
rand,2004,cc,a,25.332799317808142
rand,2013,cc,a,41.4086894223632
rand,2010,cs,a,29.236873860493944
rand,2010,cc,a,19.488605955234444
rand,2018,cc,a,35.415098601535995
rand,2002,cc,a,78.26944516292002
rand,2018,cs,a,36.53168037310618
rand,2019,cc,a,26.161598857043842
