site_id,year,rotation,term,estimate,std.error,statistic,p.value
hugg,2017,cc,c,0.001578043934209189,0.019729072050545422,0.07998571499796227,0.9412855191890821
hugg,2017,cs,a,70.248,0.0045516854744425544,15433.403822482547,5.999092796611493e-13
hugg,2017,cs,b,1.312535714285714,1.1494741660023715e-4,11418.575145976843,1.4812726050153418e-12
hugg,2017,cs,xs,72.92140650982442,0.005886921727867746,12387.018187217633,1.160300314776637e-12
hugg,2017,cs,c,1.4396447922949865e-4,3.1216373131589144e-5,4.611825935788005,0.01917900681984901
hugg,2018,cc,a,26.122833333333336,1.572890658931741,16.608168651135077,4.7518879429614153e-4
hugg,2018,cc,b,1.130205357142857,0.02175635474088516,51.94828686162866,1.5710065825269206e-5
hugg,2018,cc,xs,131.6848084465914,2.4729299464954813,53.25052116142993,1.4586398297015338e-5
hugg,2018,cc,c,-0.011772932994811882,0.01810293643400061,-0.6503327809680738,0.5618402158561712
hugg,2018,cs,a,63.122,0.013440880634286138,4696.269665469914,2.129176161407662e-11
hugg,2018,cs,b,1.2171607142857142,3.394334943436668e-4,3585.8591876421406,4.782895920350794e-11
hugg,2018,cs,xs,92.52638301328872,0.022134641667138463,4180.161775587055,3.019196557187978e-11
hugg,2018,cs,c,6.706614990969277e-4,9.218025881905037e-5,7.275543675934286,0.0053591935448047846
hugg,2019,cc,a,28.805,0.30715945690910035,93.77865259256676,2.6728896583063674e-6
hugg,2019,cc,b,1.4741785714285711,0.007756947674500071,190.04621834368382,3.2125490189252416e-7
hugg,2019,cc,xs,101.05442051000814,0.4527314082238857,223.21053647781048,1.9828747967469567e-7
hugg,2019,cc,c,0.007992474413004323,0.0021065612445343783,3.794085946345667,0.032133563736027465
klad,2000,cc,a,86.53466666666667,2.1250060742693297,40.7220796751939,3.258658766629786e-5
klad,2000,cc,b,0.7170357142857142,0.029393261200838273,24.39456137195368,1.5099782172909868e-4
