obs_no,study,pub_reference,pub_year,loc_citystate,lat,long,depth_inc,depth_cat,om_pct,clay_pct,texture,BD,AirDry,LL,DUL,SAT,KS,CCL,PAW,NO3ppm,NH4ppm,SW,pH
41,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,30-45,5,1.1,22.5,Clay Loam,1.531,0.143,0.143,0.23,0.31,146,0.176,8.7,2.526,2.526,0.269,6.3
42,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,45-60,6,1.1,23.4,Clay Loam,1.543,0.147,0.147,0.235,0.3,133,0.187,8.8,2.546,2.546,0.262,6.7
43,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,60-80,7,0.8,22,Clay Loam,1.56,0.138,0.138,0.23,0.295,150,0.19,9.2,2.496,2.496,0.255,6.9
44,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,80-100,8,0.5,17.2,Clay Loam,1.593,0.107,0.107,0.22,0.29,180,0.169,11.3,2,2,0.221,7.1
45,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,100-120,9,0.35,14.7,Clay Loam,1.608,0.1,0.1,0.21,0.28,160,0.164,11,2,2,0.206,7.9
46,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,120-150,10,0.08,14.7,Clay Loam,1.628,0.09,0.09,0.2,0.27,100,0.169,11,5,5,0.2,8
47,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,150-180,11,0.01,14,Clay Loam,1.634,0.08,0.08,0.19,0.25,11.021,0.174,11,6,6,0.195,8
48,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,180-210,12,0.01,14,Clay Loam,1.634,0.07,0.07,0.18,0.24,9.024,0.174,11,7,7,0.195,8
49,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,210-240,13,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.22,7.388,0.174,11,8,8,0.195,8
50,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,240-270,14,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.21,6.049,0.174,11,9,9,0.195,8
51,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,270-300,15,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,4.952,0.174,11,10,10,0.195,8
52,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,300-330,16,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,4.055,0.174,11,0,0,0.195,8
53,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,330-360,17,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,3.32,0.174,11,0,0,0.195,8
54,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,360-390,18,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,2.718,0.174,11,0,0,0.195,8
55,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,0-5,1,2.45,30,Silty Clay Loam,1.25,0.086,0.171,0.28,0.487,216,0.171,10.9,0.8,2.5,0.28,5.48
56,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,5-10,2,2.46,30,Silty Clay Loam,1.25,0.086,0.171,0.28,0.44,216,0.171,10.9,0.8,2,0.28,5.48
57,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,10-15,3,2.17,30,Silty Clay Loam,1.25,0.121,0.151,0.28,0.415,216,0.151,12.9,1.6,2,0.28,5.68
58,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,15-30,4,1.956666667,30,Silty Clay Loam,1.25,0.134333333,0.144333333,0.273333333,0.419,160.6666667,0.144333333,12.9,4.133333333,2.666666667,0.273333333,5.88
59,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,30-45,5,1.35,30,Silty Clay Loam,1.35,0.13,0.13,0.25,0.42,133,0.161,12,1.35,0.13,0.13,1.35
60,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,45-60,6,1.35,30,Silty Clay Loam,1.35,0.13,0.13,0.24,0.413,119,0.169,11,1.35,0.13,0.13,1.35
61,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,60-80,7,0.9375,30,Silty Clay Loam,1.36,0.14,0.14,0.26825,0.438,119,0.19825,12.825,8.3,2.75,0.26825,7.055
62,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,80-100,8,0.39,30,Silty Clay Loam,1.36,0.14,0.14,0.2615,0.438,111,0.206,12.15,7.8,1.5,0.2615,7.97
63,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,100-120,9,0.39,30,Silty Clay Loam,1.4,0.14,0.14,0.24,0.438,103,0.204,10,5.7,0.1,0.24,7.97
64,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,120-150,10,0.39,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.438,89,0.204,13,10.1,0.1,0.438,7.97
65,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,150-180,11,0.2,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.327,58.997,0.215,13,4.2,0.8,0.327,7.97
66,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,180-210,12,0.1,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.315,36.017,0.226,13,3.5,0,0.315,7.97
67,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,210-240,13,0.1,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.304,21.988,0.228,13,2,0,0.304,7.97
68,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,240-270,14,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.295,13.423,0.228,13,1.7,0,0.295,7.97
69,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,270-300,15,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.288,8.195,0.228,13,1,0.1,0.288,7.97
70,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,300-330,16,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.281,5.003,0.228,13,0.8,0,0.281,7.97
71,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,330-360,17,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.275,3.054,0.228,13,0.4,0,0.275,7.97
72,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,360-390,18,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.27,1.865,0.228,13,0,0,0.27,7.97
73,5,Lawlor,2008,Gilmore,42.4024,-94.8019,0-5,1,3.39,32,Clay Loam,0.8,0.103,0.207,0.351,0.495,182.137,0.207,14.4,3.72,3.72,0.351,7.8
74,5,Lawlor,2009,Gilmore,42.4024,-94.8019,5-10,2,3,33,Clay Loam,1,0.106,0.211,0.355,0.493,159.848,0.211,14.4,3.5,3.5,0.355,7.82
75,5,Lawlor,2010,Gilmore,42.4024,-94.8019,10-15,3,2.72,34,Clay Loam,1.36,0.108,0.215,0.358,0.491,142.095,0.215,14.3,3.33,3.33,0.358,7.85
76,5,Lawlor,2011,Gilmore,42.4024,-94.8019,15-30,4,2,34,Clay Loam,1.45,0.211,0.211,0.351,0.468,98.079,0.211,14,3,3,0.351,7.9
77,5,Lawlor,2012,Gilmore,42.4024,-94.8019,30-45,5,1.61,34,Clay Loam,1.57,0.21,0.21,0.35,0.463,90.959,0.247,14,3,3,0.35,8.05
78,5,Lawlor,2013,Gilmore,42.4024,-94.8019,45-60,6,1.26,34,Clay Loam,1.57,0.209,0.209,0.348,0.459,83.656,0.258,13.9,3,2,0.348,7.9
79,5,Lawlor,2014,Gilmore,42.4024,-94.8019,60-80,7,0.5,34,Clay Loam,1.57,0.206,0.206,0.343,0.442,60.376,0.267,13.7,3,2,0.343,7.9
80,5,Lawlor,2015,Gilmore,42.4024,-94.8019,80-100,8,0.3,34,Clay Loam,1.57,0.205,0.205,0.342,0.438,56.217,0.28,13.7,3,4,0.342,7.9
81,5,Lawlor,2016,Gilmore,42.4024,-94.8019,100-120,9,0.1,34,Clay Loam,1.57,0.204,0.204,0.341,0.43,52.249,0.29,13.7,3,4,0.341,8.08
82,5,Lawlor,2017,Gilmore,42.4024,-94.8019,120-150,10,0.08,34,Clay Loam,1.57,0.204,0.204,0.341,0.42,51.863,0.303,13.7,3,2,0.341,8.08
83,5,Lawlor,2018,Gilmore,42.4024,-94.8019,150-180,11,0.01,34,Clay Loam,1.57,0.204,0.204,0.34,0.4,16.755,0.314,13.6,3,2,0.34,8.08
84,5,Lawlor,2019,Gilmore,42.4024,-94.8019,180-210,12,0.01,34,Clay Loam,1.57,0.204,0.204,0.34,0.38,13.718,0.323,13.6,3.5,2,0.34,8.08
85,5,Lawlor,2020,Gilmore,42.4024,-94.8019,210-240,13,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.37,11.231,0.328,13.6,0,0,0.34,8.08
86,5,Lawlor,2021,Gilmore,42.4024,-94.8019,240-270,14,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.36,10.507,0.328,13.6,0,0,0.34,8.08
87,5,Lawlor,2022,Gilmore,42.4024,-94.8019,270-300,15,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.36,7.529,0.328,13.6,0,0,0.34,8.08
88,5,Lawlor,2023,Gilmore,42.4024,-94.8019,300-330,16,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.355,6.164,0.328,13.6,0,0,0.34,8.08
89,5,Lawlor,2024,Gilmore,42.4024,-94.8019,330-360,17,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.355,5.047,0.328,13.6,0,0,0.34,8.08
90,5,Lawlor,2025,Gilmore,42.4024,-94.8019,360-390,18,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.355,4.132,0.328,13.6,0,0,0.34,8.08
91,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,0-5,1,2,22.5,Silt Loam,1.341,0.075,0.149,0.348,0.494,302,0.149,19.9,1.5,1.5,0.348,6.7
92,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,5-10,2,1.75,23,Silt Loam,1.355,0.076,0.151,0.349,0.489,302,0.151,19.8,1.5,1.5,0.349,6.6
93,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,10-15,3,1.5,23.5,Silt Loam,1.369,0.077,0.153,0.348,0.483,302,0.153,19.5,1,1,0.348,6.5
94,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,15-30,4,1,25,Silt Loam,1.4,0.159,0.159,0.35,0.472,104,0.159,19.1,1,1,0.35,6.3
95,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,30-45,5,0.6,27.5,Silt Loam,1.413,0.171,0.171,0.357,0.467,104,0.22,18.6,0.6,0.6,0.357,6.2
96,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,45-60,6,0.5,28,Silt Loam,1.408,0.174,0.174,0.359,0.469,104,0.239,18.5,0.5,0.5,0.359,6.2
97,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,60-80,7,0.5,25,Silt Loam,1.449,0.156,0.156,0.349,0.453,104,0.242,19.3,0.5,0.5,0.349,6.3
98,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,80-100,8,0.4,24,Silt Loam,1.488,0.15,0.15,0.337,0.438,58,0.252,18.7,0.4,0.4,0.337,6.4
99,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,100-120,9,0.4,24,Silt Loam,1.512,0.149,0.149,0.326,0.429,58,0.26,17.7,0.4,0.4,0.326,6.5
100,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,120-150,10,0.3,23.5,Silt Loam,1.547,0.144,0.144,0.311,0.416,58,0.264,16.7,0.3,0.3,0.311,6.6
101,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,150-180,11,0.3,17,Silt Loam,1.608,0.106,0.106,0.263,0.393,15.908,0.233,15.7,0.3,0.3,0.263,6.7
102,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,180-210,12,0.3,12.5,Silt Loam,1.62,0.07,0.07,0.22,0.38,13.466,0.201,15,0.3,0.3,0.22,7
103,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,210-240,13,0,12.5,Silt Loam,1.62,0.07,0.07,0.22,0.35,11.398,0.208,15,0,0,0.22,7
104,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,240-270,14,0,12.5,Silt Loam,1.62,0.07,0.07,0.219,0.32,9.649,0.207,14.9,0,0,0.219,7
105,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,270-300,15,0,12.5,Silt Loam,1.62,0.07,0.07,0.219,0.32,8.167,0.207,14.9,0,0,0.219,7
106,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,300-330,16,0,12.5,Silt Loam,1.62,0.07,0.07,0.219,0.32,6.914,0.207,14.9,0,0,0.219,7
107,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,330-360,17,0,12.5,Silt Loam,1.62,0.07,0.07,0.219,0.32,5.852,0.207,14.9,0,0,0.219,7
108,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,360-390,18,0,12.5,Silt Loam,1.62,0.07,0.07,0.219,0.32,4.954,0.207,14.9,0,0,0.219,7
109,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,0-5,1,2.25,39,Loam,1.429,0.12,0.24,0.365,0.401,52.8,0.24,12.5,2.25,2.25,0.365,7.6
110,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,5-10,2,2,39,Loam,1.464,0.12,0.24,0.358,0.388,42.9,0.24,11.8,2,2,0.358,7.6
111,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,10-15,3,1.75,39,Loam,1.514,0.121,0.241,0.347,0.389,32.1,0.241,10.6,1.75,1.75,0.347,7.6
112,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,15-30,4,1.5,39,Loam,1.499,0.239,0.239,0.34,0.38,35.1,0.239,10.1,1.5,1.5,0.34,7.6
113,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,30-45,5,1.1,39,Loam,1.469,0.24,0.24,0.345,0.39,39.9,0.267,10.5,1.1,1.1,0.345,7.7
114,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,45-60,6,1.1,39,Loam,1.465,0.242,0.242,0.35,0.4,40.6,0.28,10.8,1.1,1.1,0.35,7.8
115,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,60-80,7,0.8,39,Loam,1.474,0.245,0.245,0.355,0.41,37.7,0.294,11,0.8,0.8,0.355,7.8
116,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,80-100,8,0.5,39,Loam,1.483,0.25,0.25,0.357,0.412,35,0.308,10.7,0.5,0.5,0.357,7.9
117,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,100-120,9,0.35,39,Loam,1.488,0.245,0.245,0.356,0.41,33.7,0.315,11.1,0.35,0.35,0.356,7.9
118,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,120-150,10,0.08,39,Loam,1.496,0.24,0.24,0.355,0.405,31.5,0.323,11.5,0.08,0.08,0.355,7.9
119,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,150-180,11,0.01,39,Loam,1.498,0.23,0.23,0.35,0.4,10.252,0.327,12,0.01,0.01,0.35,7.9
120,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,180-210,12,0.01,39,Loam,1.498,0.225,0.225,0.34,0.39,8.394,0.326,11.5,0.01,0.01,0.34,7.9
121,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,210-240,13,0,39,Loam,1.498,0.22,0.22,0.33,0.38,6.872,0.318,11,0,0,0.33,7.9
122,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,240-270,14,0,39,Loam,1.498,0.215,0.215,0.32,0.37,5.627,0.308,10.5,0,0,0.32,7.9
123,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,270-300,15,0,39,Loam,1.498,0.21,0.21,0.31,0.36,4.607,0.298,10,0,0,0.31,7.9
124,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,300-330,16,0,39,Loam,1.498,0.21,0.21,0.31,0.36,3.772,0.298,10,0,0,0.31,7.9
125,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,330-360,17,0,39,Loam,1.498,0.21,0.21,0.31,0.36,3.088,0.298,10,0,0,0.31,7.9
126,7,Gold,1989,"Saginaw Baw, Michigan",43.39845,-83.6976,360-390,18,0,39,Loam,1.498,0.21,0.21,0.31,0.36,2.528,0.298,10,0,0,0.31,7.9
127,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,0-5,1,2.326,35,Clay Loam,1.429,0.08,0.159,0.303,0.4,465.979,0.159,14.4,2.326,2.326,0.303,6.7
128,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,5-10,2,2.326,35,Clay Loam,1.464,0.08,0.159,0.303,0.4,465.979,0.159,14.4,2.326,2.326,0.303,6.7
129,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,10-15,3,2.326,35,Clay Loam,1.514,0.08,0.159,0.303,0.4,465.979,0.159,14.4,2.326,2.326,0.303,6.7
130,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,15-30,4,2.326,35,Clay Loam,1.499,0.159,0.159,0.303,0.4,465.979,0.159,14.4,2.326,2.326,0.303,6.7
131,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,30-45,5,1.798,35,Clay Loam,1.469,0.163,0.163,0.306,0.41,327.496,0.2,14.3,1.798,1.798,0.306,6.513
132,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,45-60,6,0.349,35,Clay Loam,1.465,0.173,0.173,0.313,0.41,284.883,0.222,14,0.349,0.349,0.313,6
133,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,60-80,7,0.349,35,Clay Loam,1.474,0.173,0.173,0.313,0.41,284.883,0.236,14,0.349,0.349,0.313,6
134,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,80-100,8,0.349,35,Clay Loam,1.483,0.173,0.173,0.313,0.39,284.883,0.249,14,0.349,0.349,0.313,6
135,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,100-120,9,0.34,35,Clay Loam,1.488,0.171,0.171,0.311,0.37,248.322,0.259,14,0.34,0.34,0.311,6.015
136,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,120-150,10,0.174,35,Clay Loam,1.496,0.16,0.16,0.275,0.35,100,0.233,11.5,0.174,0.174,0.275,6.3
137,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,150-180,11,0.13,35,Clay Loam,1.498,0.15,0.15,0.263,0.313,50,0.233,11.3,0.13,0.13,0.263,6.99
138,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,180-210,12,0.116,35,Clay Loam,1.498,0.14,0.14,0.259,0.305,1.023,0.24,11.9,0.116,0.116,0.259,7.2
139,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,210-240,13,0.116,35,Clay Loam,1.498,0.14,0.14,0.259,0.295,0.838,0.247,11.9,0.116,0.116,0.259,7.2
140,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,240-270,14,0.116,35,Clay Loam,1.498,0.14,0.14,0.259,0.29,0.686,0.247,11.9,0.116,0.116,0.259,7.2
141,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,270-300,15,0.116,35,Clay Loam,1.498,0.14,0.14,0.259,0.275,0.562,0.247,11.9,0.116,0.116,0.259,7.2
142,8,Gentry,2000,"Champaign, Illinois",40.05627,-88.2175,300-330,16,0.116,35,Clay Loam,1.498,0.14,0.14,0.259,0.27,0.46,0.247,11.9,0.116,0.116,0.259,7.2
